state,state_abbr,gender_group,age_group,population
Mississippi,MS,Both,All,2984418
Missouri,MO,Female,<18,674269
Missouri,MO,Female,18+,2434916
Missouri,MO,Female,All,3109185
Missouri,MO,Male,<18,707343
Missouri,MO,Male,18+,2288382
Missouri,MO,Male,All,2995725
Missouri,MO,Both,<18,1381612
Missouri,MO,Both,18+,4723298
Missouri,MO,Both,All,6104910
Montana,MT,Female,<18,110866
Montana,MT,Female,18+,411210
Montana,MT,Female,All,522076
Montana,MT,Male,<18,117520
Montana,MT,Male,18+,411053
Montana,MT,Male,All,528573
Montana,MT,Both,<18,228386
Montana,MT,Both,18+,822263
Montana,MT,Both,All,1050649
Nebraska,NE,Female,<18,230769
Nebraska,NE,Female,18+,728852
Nebraska,NE,Female,All,959621
Nebraska,NE,Male,<18,243338
Nebraska,NE,Male,18+,711612
Nebraska,NE,Male,All,954950
Nebraska,NE,Both,<18,474107
Nebraska,NE,Both,18+,1440464
Nebraska,NE,Both,All,1914571
Nevada,NV,Female,<18,333198
Nevada,NV,Female,18+,1147890
Nevada,NV,Female,All,1481088
Nevada,NV,Male,<18,347844
Nevada,NV,Male,18+,1143450
Nevada,NV,Male,All,1491294
Nevada,NV,Both,<18,681042
Nevada,NV,Both,18+,2291340
Nevada,NV,Both,All,2972382
New Hampshire,NH,Female,<18,126952
New Hampshire,NH,Female,18+,553483
New Hampshire,NH,Female,All,680435
New Hampshire,NH,Male,<18,133012
New Hampshire,NH,Male,18+,534677
New Hampshire,NH,Male,All,667689
New Hampshire,NH,Both,<18,259964
New Hampshire,NH,Both,18+,1088160
New Hampshire,NH,Both,All,1348124
New Jersey,NJ,Female,<18,960357
New Jersey,NJ,Female,18+,3583114
New Jersey,NJ,Female,All,4543471
New Jersey,NJ,Male,<18,1001164
New Jersey,NJ,Male,18+,3333868
New Jersey,NJ,Male,All,4335032
New Jersey,NJ,Both,<18,1961521
New Jersey,NJ,Both,18+,6916982
New Jersey,NJ,Both,All,8878503
New Mexico,NM,Female,<18,238947
New Mexico,NM,Female,18+,817317
New Mexico,NM,Female,All,1056264
New Mexico,NM,Male,<18,249529
New Mexico,NM,Male,18+,786661
New Mexico,NM,Male,All,1036190
New Mexico,NM,Both,<18,488476
New Mexico,NM,Both,18+,1603978
New Mexico,NM,Both,All,2092454
New York,NY,Female,<18,2007589
New York,NY,Female,18+,8063729
New York,NY,Female,All,10071318
New York,NY,Male,<18,2100910
New York,NY,Male,18+,7400091
New York,NY,Male,All,9501001
New York,NY,Both,<18,4108499
New York,NY,Both,18+,15463820
New York,NY,Both,All,19572319
North Carolina,NC,Female,<18,1123755
North Carolina,NC,Female,18+,4144483
North Carolina,NC,Female,All,5268238
North Carolina,NC,Male,<18,1172859
North Carolina,NC,Male,18+,3823779
North Carolina,NC,Male,All,4996638
North Carolina,NC,Both,<18,2296614
North Carolina,NC,Both,18+,7968262
North Carolina,NC,Both,All,10264876
North Dakota,ND,Female,<18,85612
North Dakota,ND,Female,18+,283550
North Dakota,ND,Female,All,369162
North Dakota,ND,Male,<18,90132
North Dakota,ND,Male,18+,297423
North Dakota,ND,Male,All,387555
North Dakota,ND,Both,<18,175744
North Dakota,ND,Both,18+,580973
North Dakota,ND,Both,All,756717
Ohio,OH,Female,<18,1272323
Ohio,OH,Female,18+,4671309
Ohio,OH,Female,All,5943632
Ohio,OH,Male,<18,1332687
Ohio,OH,Male,18+,4379078
Ohio,OH,Male,All,5711765
Ohio,OH,Both,<18,2605010
Ohio,OH,Both,18+,9050387
Ohio,OH,Both,All,11655397
Oklahoma,OK,Female,<18,467177
Oklahoma,OK,Female,18+,1516165
Oklahoma,OK,Female,All,1983342
Oklahoma,OK,Male,<18,489787
Oklahoma,OK,Male,18+,1459741
Oklahoma,OK,Male,All,1949528
Oklahoma,OK,Both,<18,956964
Oklahoma,OK,Both,18+,2975906
Oklahoma,OK,Both,All,3932870
Oregon,OR,Female,<18,422917
Oregon,OR,Female,18+,1659548
Oregon,OR,Female,All,2082465
Oregon,OR,Male,<18,445026
Oregon,OR,Male,18+,1602312
Oregon,OR,Male,All,2047338
Oregon,OR,Both,<18,867943
Oregon,OR,Both,18+,3261860
Oregon,OR,Both,All,4129803
Pennsylvania,PA,Female,<18,1299738
Pennsylvania,PA,Female,18+,5226679
Pennsylvania,PA,Female,All,6526417
Pennsylvania,PA,Male,<18,1362653
Pennsylvania,PA,Male,18+,4902460
Pennsylvania,PA,Male,All,6265113
Pennsylvania,PA,Both,<18,2662391
Pennsylvania,PA,Both,18+,10129139
Pennsylvania,PA,Both,All,12791530
Puerto Rico,PR,Female,<18,317469
Puerto Rico,PR,Female,18+,1422660
Puerto Rico,PR,Female,All,1740129
Puerto Rico,PR,Male,<18,330877
Puerto Rico,PR,Male,18+,1247441
Puerto Rico,PR,Male,All,1578318
Puerto Rico,PR,Both,<18,648346
Puerto Rico,PR,Both,18+,2670101
Puerto Rico,PR,Both,All,3318447
Rhode Island,RI,Female,<18,101234
Rhode Island,RI,Female,18+,442205
Rhode Island,RI,Female,All,543439
Rhode Island,RI,Male,<18,106110
Rhode Island,RI,Male,18+,407682
Rhode Island,RI,Male,All,513792
Rhode Island,RI,Both,<18,207344
Rhode Island,RI,Both,18+,849887
Rhode Island,RI,Both,All,1057231
South Carolina,SC,Female,<18,540753
South Carolina,SC,Female,18+,2044581
South Carolina,SC,Female,All,2585334
South Carolina,SC,Male,<18,561749
South Carolina,SC,Male,18+,1873723
South Carolina,SC,Male,All,2435472
South Carolina,SC,Both,<18,1102502
South Carolina,SC,Both,18+,3918304
South Carolina,SC,Both,All,5020806
South Dakota,SD,Female,<18,104387
South Dakota,SD,Female,18+,327305
South Dakota,SD,Female,All,431692
South Dakota,SD,Male,<18,109721
South Dakota,SD,Male,18+,329225
South Dakota,SD,Male,All,438946
South Dakota,SD,Both,<18,214108
South Dakota,SD,Both,18+,656530
South Dakota,SD,Both,All,870638
Tennessee,TN,Female,<18,735714
Tennessee,TN,Female,18+,2700364
Tennessee,TN,Female,All,3436078
Tennessee,TN,Male,<18,769206
Tennessee,TN,Male,18+,2504072
Tennessee,TN,Male,All,3273278
Tennessee,TN,Both,<18,1504920
Tennessee,TN,Both,18+,5204436
Tennessee,TN,Both,All,6709356
Texas,TX,Female,<18,3596550
Texas,TX,Female,18+,10630297
Texas,TX,Female,All,14226847
Texas,TX,Male,<18,3741895
Texas,TX,Male,18+,10292114
Texas,TX,Male,All,14034009
Texas,TX,Both,<18,7338445
Texas,TX,Both,18+,20922411
Texas,TX,Both,All,28260856
United States (States and DC),US,Female,<18,35902858
United States (States and DC),US,Female,18+,128908018
United States (States and DC),US,Female,All,164810876
United States (States and DC),US,Male,<18,37526534
